project_name,project_links,type,units
Dover Parkview,https://www.propertyguru.com.sg//project/dover-parkview-178,condo,686.0
The Tate Residences,https://www.propertyguru.com.sg//project/the-tate-residences-174,condo,85.0
Boonview,https://www.propertyguru.com.sg//project/boonview-179,condo,120.0
The Grange,https://www.propertyguru.com.sg//project/the-grange-166,condo,95.0
Orchid Park Condominium,https://www.propertyguru.com.sg//project/orchid-park-condominium-171,condo,615.0
Meraprime,https://www.propertyguru.com.sg//project/meraprime-181,condo,213.0
The Chuan,https://www.propertyguru.com.sg//project/the-chuan-180,condo,106.0
Pandan Valley,https://www.propertyguru.com.sg//project/pandan-valley-182,condo,623.0
The Mornington,https://www.propertyguru.com.sg//project/the-mornington-833,condo,28.0
Aspen Loft,https://www.propertyguru.com.sg//project/aspen-loft-836,condo,29.0
Central View,https://www.propertyguru.com.sg//project/central-view-834,condo,104.0
Fifth Avenue Condo,https://www.propertyguru.com.sg//project/fifth-avenue-condo-816,condo,70.0
Meralodge,https://www.propertyguru.com.sg//project/meralodge-898,condo,87.0
Nouvelle Park,https://www.propertyguru.com.sg//project/nouvelle-park-905,condo,108.0
The Prominence,https://www.propertyguru.com.sg//project/the-prominence-892,condo,16.0
Wilkie 87,https://www.propertyguru.com.sg//project/wilkie-87-914,condo,21.0
Country Grandeur,https://www.propertyguru.com.sg//project/country-grandeur-920,condo,68.0
The Medley,https://www.propertyguru.com.sg//project/the-medley-976,condo,37.0
The Amarelle,https://www.propertyguru.com.sg//project/the-amarelle-978,condo,60.0
AALTO,https://www.propertyguru.com.sg//project/aalto-977,condo,196.0
Sunny Palms,https://www.propertyguru.com.sg//project/sunny-palms-983,condo,56.0
The Marq On Paterson Hill,https://www.propertyguru.com.sg//project/the-marq-on-paterson-hill-994,condo,66.0
Pepys Hill Condo,https://www.propertyguru.com.sg//project/pepys-hill-condo-995,condo,32.0
Parc Stevens,https://www.propertyguru.com.sg//project/parc-stevens-982,condo,48.0
Crystal Lodge,https://www.propertyguru.com.sg//project/crystal-lodge-980,condo,26.0
Boon Teck Towers,https://www.propertyguru.com.sg//project/boon-teck-towers-1027,condo,78.0
Meadow Lodge,https://www.propertyguru.com.sg//project/meadow-lodge-1026,condo,64.0
Leedon 2,https://www.propertyguru.com.sg//project/leedon-2-1031,condo,72.0
Novena Lodge,https://www.propertyguru.com.sg//project/novena-lodge-1037,condo,66.0
The Loft,https://www.propertyguru.com.sg//project/the-loft-1020,condo,77.0
Buona Vista Gardens,https://www.propertyguru.com.sg//project/buona-vista-gardens-1030,condo,48.0
Mandalay Towers,https://www.propertyguru.com.sg//project/mandalay-towers-1029,condo,56.0
Balestier Towers,https://www.propertyguru.com.sg//project/balestier-towers-1021,condo,36.0
Newton Gems,https://www.propertyguru.com.sg//project/newton-gems-1157,condo,190.0
The Bayron,https://www.propertyguru.com.sg//project/the-bayron-1156,condo,96.0
L'VIV,https://www.propertyguru.com.sg//project/l-viv-1154,condo,147.0
Jardin,https://www.propertyguru.com.sg//project/jardin-1159,condo,140.0
Casa Riviera,https://www.propertyguru.com.sg//project/casa-riviera-1174,condo,31.0
Paradise Palms,https://www.propertyguru.com.sg//project/paradise-palms-1173,condo,56.0
Fairlodge,https://www.propertyguru.com.sg//project/fairlodge-1177,condo,22.0
Sunflower Lodge,https://www.propertyguru.com.sg//project/sunflower-lodge-1193,condo,12.0
Mia Place,https://www.propertyguru.com.sg//project/mia-place-1191,condo,27.0
Wharton Vale,https://www.propertyguru.com.sg//project/wharton-vale-1189,condo,14.0
East Coast Residences,https://www.propertyguru.com.sg//project/east-coast-residences-1257,condo,59.0
The Adara,https://www.propertyguru.com.sg//project/the-adara-1254,condo,16.0
Holland Residences,https://www.propertyguru.com.sg//project/holland-residences-1243,condo,83.0
Goodwood Residence,https://www.propertyguru.com.sg//project/goodwood-residence-1244,condo,210.0
Vetro,https://www.propertyguru.com.sg//project/vetro-1241,condo,32.0
9 Holland Hill,https://www.propertyguru.com.sg//project/9-holland-hill-1224,condo,29.0
Kovan Residences,https://www.propertyguru.com.sg//project/kovan-residences-1338,condo,521.0
The Ambra,https://www.propertyguru.com.sg//project/the-ambra-1339,condo,25.0
Martin Place Residences,https://www.propertyguru.com.sg//project/martin-place-residences-1349,condo,302.0
Jewel of Balmoral,https://www.propertyguru.com.sg//project/jewel-of-balmoral-1342,condo,16.0
Casa De Venice,https://www.propertyguru.com.sg//project/casa-de-venice-1322,condo,80.0
The Amery,https://www.propertyguru.com.sg//project/the-amery-1317,condo,78.0
Camellia Lodge,https://www.propertyguru.com.sg//project/camellia-lodge-1321,condo,32.0
Royal Court Condo,https://www.propertyguru.com.sg//project/royal-court-condo-1315,condo,31.0
Varsity Park Condominium,https://www.propertyguru.com.sg//project/varsity-park-condominium-80,condo,530.0
The Quintet,https://www.propertyguru.com.sg//project/the-quintet-90,condo,459.0
Villa Des Flores,https://www.propertyguru.com.sg//project/villa-des-flores-1447,condo,41.0
Sixth Avenue Ville,https://www.propertyguru.com.sg//project/sixth-avenue-ville-1448,condo,49.0
Leong Bee Court,https://www.propertyguru.com.sg//project/leong-bee-court-1449,condo,
Palm Vista,https://www.propertyguru.com.sg//project/palm-vista-1450,condo,32.0
Kembangan Suites,https://www.propertyguru.com.sg//project/kembangan-suites-1459,condo,68.0
Corona Ville,https://www.propertyguru.com.sg//project/corona-ville-1456,condo,41.0
Le Shantier,https://www.propertyguru.com.sg//project/le-shantier-1457,condo,32.0
Grand Regency,https://www.propertyguru.com.sg//project/grand-regency-1464,condo,34.0
Regent Heights,https://www.propertyguru.com.sg//project/regent-heights-187,condo,645.0
The Warren,https://www.propertyguru.com.sg//project/the-warren-197,condo,699.0
River Place,https://www.propertyguru.com.sg//project/river-place-191,condo,509.0
Leonie Gardens,https://www.propertyguru.com.sg//project/leonie-gardens-202,condo,138.0
The Waterside,https://www.propertyguru.com.sg//project/the-waterside-204,condo,502.0
The Rivervale,https://www.propertyguru.com.sg//project/the-rivervale-194,condo,671.0
Sommerville Park,https://www.propertyguru.com.sg//project/sommerville-park-203,condo,456.0
The Arcadia (Arcadia Gardens),https://www.propertyguru.com.sg//project/the-arcadia-arcadia-gardens-196,condo,164.0
Parc Vista,https://www.propertyguru.com.sg//project/parc-vista-189,condo,638.0
Saint Thomas Suites,https://www.propertyguru.com.sg//project/saint-thomas-suites-186,condo,176.0
The Pearl @ Mount Faber,https://www.propertyguru.com.sg//project/the-pearl-mount-faber-184,condo,192.0
The Gardens at Bishan,https://www.propertyguru.com.sg//project/the-gardens-at-bishan-205,condo,756.0
Castle Green,https://www.propertyguru.com.sg//project/castle-green-200,condo,664.0
Eastpoint Green,https://www.propertyguru.com.sg//project/eastpoint-green-212,condo,684.0
Cashew Heights,https://www.propertyguru.com.sg//project/cashew-heights-220,condo,596.0
The Makena,https://www.propertyguru.com.sg//project/the-makena-215,condo,504.0
Villa Marina,https://www.propertyguru.com.sg//project/villa-marina-209,condo,432.0
The Florida,https://www.propertyguru.com.sg//project/the-florida-214,condo,496.0
Camelot By-The-Water,https://www.propertyguru.com.sg//project/camelot-by-the-water-207,condo,99.0
The Anchorage,https://www.propertyguru.com.sg//project/the-anchorage-195,condo,775.0
Haig Court,https://www.propertyguru.com.sg//project/haig-court-206,condo,360.0
Le Reve,https://www.propertyguru.com.sg//project/le-reve-208,condo,65.0
Signature Park,https://www.propertyguru.com.sg//project/signature-park-210,condo,928.0
The Petals,https://www.propertyguru.com.sg//project/the-petals-242,condo,270.0
Belmond Green,https://www.propertyguru.com.sg//project/belmond-green-224,condo,211.0
Seletar Springs Condominium,https://www.propertyguru.com.sg//project/seletar-springs-condominium-217,condo,364.0
Rio Vista,https://www.propertyguru.com.sg//project/rio-vista-240,condo,716.0
Regentville,https://www.propertyguru.com.sg//project/regentville-244,condo,580.0
Normanton Park,https://www.propertyguru.com.sg//project/normanton-park-226,condo,1862.0
The Madeira,https://www.propertyguru.com.sg//project/the-madeira-243,condo,456.0
Balmoral Hills,https://www.propertyguru.com.sg//project/balmoral-hills-216,condo,62.0
Regency Park,https://www.propertyguru.com.sg//project/regency-park-222,condo,292.0
Summerdale,https://www.propertyguru.com.sg//project/summerdale-228,condo,432.0
Murano,https://www.propertyguru.com.sg//project/murano-247,condo,50.0
Clementi Park,https://www.propertyguru.com.sg//project/clementi-park-230,condo,489.0
Urbana,https://www.propertyguru.com.sg//project/urbana-237,condo,126.0
Poshgrove East,https://www.propertyguru.com.sg//project/poshgrove-east-232,condo,76.0
The Cornwall,https://www.propertyguru.com.sg//project/the-cornwall-239,condo,99.0
Tanglin View,https://www.propertyguru.com.sg//project/tanglin-view-245,condo,384.0
Cavendish Park,https://www.propertyguru.com.sg//project/cavendish-park-238,condo,254.0
The Paterson,https://www.propertyguru.com.sg//project/the-paterson-231,condo,88.0
Yishun Emerald,https://www.propertyguru.com.sg//project/yishun-emerald-236,condo,436.0
Riviera Residences,https://www.propertyguru.com.sg//project/riviera-residences-249,condo,138.0
The Trizon,https://www.propertyguru.com.sg//project/the-trizon-1365,condo,289.0
The Montana,https://www.propertyguru.com.sg//project/the-montana-1362,condo,108.0
Riz Haven,https://www.propertyguru.com.sg//project/riz-haven-1363,condo,33.0
Boulevard Vue,https://www.propertyguru.com.sg//project/boulevard-vue-1355,condo,28.0
La Suisse I,https://www.propertyguru.com.sg//project/la-suisse-i-1360,condo,155.0
De Casalle,https://www.propertyguru.com.sg//project/de-casalle-1361,condo,32.0
iResidences,https://www.propertyguru.com.sg//project/iresidences-1368,condo,70.0
Banyan Condo,https://www.propertyguru.com.sg//project/banyan-condo-1358,condo,104.0
East Palm,https://www.propertyguru.com.sg//project/east-palm-1359,condo,56.0
Mabelle,https://www.propertyguru.com.sg//project/mabelle-1376,condo,32.0
Concourse Skyline,https://www.propertyguru.com.sg//project/concourse-skyline-1383,condo,360.0
Zedge,https://www.propertyguru.com.sg//project/zedge-1377,condo,102.0
Newton Edge,https://www.propertyguru.com.sg//project/newton-edge-1373,condo,104.0
Tresalveo,https://www.propertyguru.com.sg//project/tresalveo-1374,condo,176.0
Sui Generis,https://www.propertyguru.com.sg//project/sui-generis-1382,condo,40.0
Woodsville 28,https://www.propertyguru.com.sg//project/woodsville-28-1380,condo,110.0
Sandy Palm,https://www.propertyguru.com.sg//project/sandy-palm-1384,condo,48.0
Urban Lofts,https://www.propertyguru.com.sg//project/urban-lofts-1379,condo,50.0
Caspian,https://www.propertyguru.com.sg//project/caspian-1395,condo,712.0
The Lucent,https://www.propertyguru.com.sg//project/the-lucent-1386,condo,42.0
Rochelle At Newton,https://www.propertyguru.com.sg//project/rochelle-at-newton-1394,condo,129.0
City Towers,https://www.propertyguru.com.sg//project/city-towers-1390,condo,78.0
Eden View,https://www.propertyguru.com.sg//project/eden-view-1391,condo,18.0
Thomson Imperial Court,https://www.propertyguru.com.sg//project/thomson-imperial-court-1393,condo,36.0
D'Cambridge,https://www.propertyguru.com.sg//project/d-cambridge-1392,condo,30.0
East Grove,https://www.propertyguru.com.sg//project/east-grove-1402,condo,36.0
Alexis,https://www.propertyguru.com.sg//project/alexis-1403,condo,293.0
Village @ Pasir Panjang,https://www.propertyguru.com.sg//project/village-pasir-panjang-1411,condo,148.0
Kentview Park,https://www.propertyguru.com.sg//project/kentview-park-1412,condo,48.0
Maya,https://www.propertyguru.com.sg//project/maya-1409,condo,13.0
Villa Delle Rose,https://www.propertyguru.com.sg//project/villa-delle-rose-1410,condo,104.0
Nuovo,https://www.propertyguru.com.sg//project/nuovo-1407,condo,297.0
Lloyd Court,https://www.propertyguru.com.sg//project/lloyd-court-1405,condo,25.0
Lloyd Mansion,https://www.propertyguru.com.sg//project/lloyd-mansion-1406,condo,36.0
Le Hill,https://www.propertyguru.com.sg//project/le-hill-1414,condo,97.0
Westpark Regency,https://www.propertyguru.com.sg//project/westpark-regency-1413,condo,20.0
Smailing Court,https://www.propertyguru.com.sg//project/smailing-court-1401,condo,
Latitude,https://www.propertyguru.com.sg//project/latitude-1433,condo,127.0
The Arte,https://www.propertyguru.com.sg//project/the-arte-1437,condo,336.0
The Watercrest,https://www.propertyguru.com.sg//project/the-watercrest-1431,condo,48.0
Casa Pasir Ris,https://www.propertyguru.com.sg//project/casa-pasir-ris-1429,condo,58.0
Wing Fong Court,https://www.propertyguru.com.sg//project/wing-fong-court-1444,condo,218.0
Grand Chateau,https://www.propertyguru.com.sg//project/grand-chateau-842,condo,69.0
Juniper at Ardmore,https://www.propertyguru.com.sg//project/juniper-at-ardmore-850,condo,20.0
Kemaman Point,https://www.propertyguru.com.sg//project/kemaman-point-847,condo,89.0
Riviera Point,https://www.propertyguru.com.sg//project/riviera-point-855,condo,33.0
Peirce View,https://www.propertyguru.com.sg//project/peirce-view-854,condo,66.0
Palisades,https://www.propertyguru.com.sg//project/palisades-857,condo,18.0
Nicon Gardens,https://www.propertyguru.com.sg//project/nicon-gardens-949,condo,47.0
Charming Garden,https://www.propertyguru.com.sg//project/charming-garden-946,condo,32.0
Martina Mansions,https://www.propertyguru.com.sg//project/martina-mansions-939,condo,31.0
Eng Kong Green,https://www.propertyguru.com.sg//project/eng-kong-green-951,condo,74.0
Moulmein27,https://www.propertyguru.com.sg//project/moulmein27-953,condo,41.0
Meya Lodge,https://www.propertyguru.com.sg//project/meya-lodge-943,condo,12.0
Villa Chancery,https://www.propertyguru.com.sg//project/villa-chancery-948,condo,
Chapel Lodge,https://www.propertyguru.com.sg//project/chapel-lodge-947,condo,44.0
King's Mansion,https://www.propertyguru.com.sg//project/king-s-mansion-1068,condo,196.0
East Bay Gardens,https://www.propertyguru.com.sg//project/east-bay-gardens-1062,condo,40.0
D'Sunrise,https://www.propertyguru.com.sg//project/d-sunrise-1059,condo,12.0
Idyllic Residences,https://www.propertyguru.com.sg//project/idyllic-residences-1160,condo,32.0
Mountbatten Suites,https://www.propertyguru.com.sg//project/mountbatten-suites-1162,condo,32.0
Holland Gems,https://www.propertyguru.com.sg//project/holland-gems-1155,condo,64.0
Esta Ruby,https://www.propertyguru.com.sg//project/esta-ruby-1161,condo,72.0
Dukes Residences,https://www.propertyguru.com.sg//project/dukes-residences-1146,condo,42.0
Lilydale,https://www.propertyguru.com.sg//project/lilydale-1213,condo,318.0
Meyer Park,https://www.propertyguru.com.sg//project/meyer-park-1217,condo,60.0
Luma,https://www.propertyguru.com.sg//project/luma-1204,condo,75.0
The Riverside Piazza,https://www.propertyguru.com.sg//project/the-riverside-piazza-1212,condo,40.0
Hillvista,https://www.propertyguru.com.sg//project/hillvista-1200,condo,127.0
Wilkie Studio,https://www.propertyguru.com.sg//project/wilkie-studio-1198,condo,40.0
7 Draycott Drive,https://www.propertyguru.com.sg//project/7-draycott-drive-1219,condo,37.0
Ewe Boon Regent,https://www.propertyguru.com.sg//project/ewe-boon-regent-1216,condo,33.0
Suites @ Amber,https://www.propertyguru.com.sg//project/suites-amber-1207,condo,28.0
Ferraria Park Condo,https://www.propertyguru.com.sg//project/ferraria-park-condo-1277,condo,475.0
Novelis @ Novena,https://www.propertyguru.com.sg//project/novelis-novena-1279,condo,24.0
Miro,https://www.propertyguru.com.sg//project/miro-1267,condo,85.0
The Verve,https://www.propertyguru.com.sg//project/the-verve-1260,condo,106.0
Waterfront Waves,https://www.propertyguru.com.sg//project/waterfront-waves-1261,condo,405.0
The Yardley,https://www.propertyguru.com.sg//project/the-yardley-1259,condo,55.0
Signature at Lewis,https://www.propertyguru.com.sg//project/signature-at-lewis-1258,condo,23.0
Braddell Park,https://www.propertyguru.com.sg//project/braddell-park-1263,condo,45.0
Palm Galleria,https://www.propertyguru.com.sg//project/palm-galleria-1262,condo,40.0
D'Casita,https://www.propertyguru.com.sg//project/d-casita-1278,condo,39.0
Mount Sophia Suites,https://www.propertyguru.com.sg//project/mount-sophia-suites-1256,condo,50.0
Nassim Park Residences,https://www.propertyguru.com.sg//project/nassim-park-residences-1344,condo,100.0
Cosmo,https://www.propertyguru.com.sg//project/cosmo-1348,condo,45.0
8 Napier,https://www.propertyguru.com.sg//project/8-napier-1351,condo,46.0
Rivage,https://www.propertyguru.com.sg//project/rivage-1336,condo,17.0
Spanish Village,https://www.propertyguru.com.sg//project/spanish-village-1327,condo,226.0
Fernhill Court Condo,https://www.propertyguru.com.sg//project/fernhill-court-condo-1341,condo,18.0
The Esta,https://www.propertyguru.com.sg//project/the-esta-62,condo,400.0
One Amber,https://www.propertyguru.com.sg//project/one-amber-60,condo,562.0
The Sea View,https://www.propertyguru.com.sg//project/the-sea-view-66,condo,546.0
One Jervois,https://www.propertyguru.com.sg//project/one-jervois-77,condo,275.0
Park Infinia at Wee Nam,https://www.propertyguru.com.sg//project/park-infinia-at-wee-nam-67,condo,486.0
Cairnhill Crest,https://www.propertyguru.com.sg//project/cairnhill-crest-76,condo,248.0
Rosewood Suites,https://www.propertyguru.com.sg//project/rosewood-suites-1415,condo,200.0
The Peak @ Balmeg,https://www.propertyguru.com.sg//project/the-peak-balmeg-1416,condo,180.0
Cherry Gardens,https://www.propertyguru.com.sg//project/cherry-gardens-1417,condo,48.0
Finland Gardens,https://www.propertyguru.com.sg//project/finland-gardens-1418,condo,48.0
Villa De West,https://www.propertyguru.com.sg//project/villa-de-west-1419,condo,83.0
Royale Mansions,https://www.propertyguru.com.sg//project/royale-mansions-1425,condo,20.0
The Esparis,https://www.propertyguru.com.sg//project/the-esparis-872,condo,274.0
Escada View,https://www.propertyguru.com.sg//project/escada-view-882,condo,80.0
Le Wood,https://www.propertyguru.com.sg//project/le-wood-859,condo,58.0
Eastern Lagoon I,https://www.propertyguru.com.sg//project/eastern-lagoon-i-873,condo,307.0
The Grandhill,https://www.propertyguru.com.sg//project/the-grandhill-876,condo,53.0
Hillview Residence,https://www.propertyguru.com.sg//project/hillview-residence-884,condo,98.0
Haig Eleven,https://www.propertyguru.com.sg//project/haig-eleven-885,condo,16.0
Dynasty Garden,https://www.propertyguru.com.sg//project/dynasty-garden-871,condo,51.0
Signature Crest,https://www.propertyguru.com.sg//project/signature-crest-929,condo,8.0
Palm Haven,https://www.propertyguru.com.sg//project/palm-haven-923,condo,48.0
Ceylon Crest,https://www.propertyguru.com.sg//project/ceylon-crest-916,condo,20.0
Malvern Springs,https://www.propertyguru.com.sg//project/malvern-springs-933,condo,75.0
The Sunnydale,https://www.propertyguru.com.sg//project/the-sunnydale-927,condo,70.0
Shelford Regency,https://www.propertyguru.com.sg//project/shelford-regency-930,condo,56.0
Casa Rosa,https://www.propertyguru.com.sg//project/casa-rosa-1004,condo,96.0
Eastwood Green,https://www.propertyguru.com.sg//project/eastwood-green-1005,condo,72.0
Parkview Eclat,https://www.propertyguru.com.sg//project/parkview-eclat-996,condo,35.0
Fortune Park,https://www.propertyguru.com.sg//project/fortune-park-1006,condo,68.0
Mackenzie Regency,https://www.propertyguru.com.sg//project/mackenzie-regency-981,condo,19.0
Emprado Suites,https://www.propertyguru.com.sg//project/emprado-suites-991,condo,16.0
The Park Vale,https://www.propertyguru.com.sg//project/the-park-vale-1010,condo,40.0
Crescendo Park,https://www.propertyguru.com.sg//project/crescendo-park-1066,condo,77.0
Gloucester Mansions,https://www.propertyguru.com.sg//project/gloucester-mansions-1088,condo,61.0
Mendon Spring,https://www.propertyguru.com.sg//project/mendon-spring-1078,condo,48.0
Sunny Grove,https://www.propertyguru.com.sg//project/sunny-grove-1085,condo,20.0
One St Michael's,https://www.propertyguru.com.sg//project/one-st-michael-s-1091,condo,131.0
Moonstone View,https://www.propertyguru.com.sg//project/moonstone-view-1103,condo,76.0
Seven Holt Road,https://www.propertyguru.com.sg//project/seven-holt-road-1117,condo,45.0
Pinetree Condo,https://www.propertyguru.com.sg//project/pinetree-condo-1123,condo,50.0
St Michael's Place,https://www.propertyguru.com.sg//project/st-michael-s-place-1115,condo,74.0
Gardenville,https://www.propertyguru.com.sg//project/gardenville-1111,condo,56.0
Fragrance Court,https://www.propertyguru.com.sg//project/fragrance-court-1109,condo,32.0
Turquoise,https://www.propertyguru.com.sg//project/turquoise-1139,condo,91.0
The Orange Grove,https://www.propertyguru.com.sg//project/the-orange-grove-1140,condo,72.0
Hilltops,https://www.propertyguru.com.sg//project/hilltops-1142,condo,240.0
Sun Rosier,https://www.propertyguru.com.sg//project/sun-rosier-1125,condo,78.0
D'Lotus,https://www.propertyguru.com.sg//project/d-lotus-1141,condo,83.0
Versilia On Haig,https://www.propertyguru.com.sg//project/versilia-on-haig-1143,condo,128.0
Kheam Hock Gardens,https://www.propertyguru.com.sg//project/kheam-hock-gardens-1129,condo,19.0
Park Natura,https://www.propertyguru.com.sg//project/park-natura-1144,condo,192.0
Stadia,https://www.propertyguru.com.sg//project/stadia-1273,condo,56.0
Floridian,https://www.propertyguru.com.sg//project/floridian-1272,condo,336.0
Bayou Residence,https://www.propertyguru.com.sg//project/bayou-residence-1280,condo,29.0
Marina Collection,https://www.propertyguru.com.sg//project/marina-collection-1275,condo,124.0
Blu Coral Condo,https://www.propertyguru.com.sg//project/blu-coral-condo-1264,condo,79.0
Grange Infinite,https://www.propertyguru.com.sg//project/grange-infinite-1276,condo,68.0
Ardmore Park,https://www.propertyguru.com.sg//project/ardmore-park-48,condo,330.0
Amaninda,https://www.propertyguru.com.sg//project/amaninda-32,condo,70.0
The Calrose,https://www.propertyguru.com.sg//project/the-calrose-116,condo,421.0
The Azure,https://www.propertyguru.com.sg//project/the-azure-111,condo,116.0
Parc Emily,https://www.propertyguru.com.sg//project/parc-emily-120,condo,295.0
The Bayshore,https://www.propertyguru.com.sg//project/the-bayshore-114,condo,1038.0
The Infiniti,https://www.propertyguru.com.sg//project/the-infiniti-101,condo,315.0
Costa Rhu,https://www.propertyguru.com.sg//project/costa-rhu-122,condo,737.0
Lakeholmz,https://www.propertyguru.com.sg//project/lakeholmz-121,condo,369.0
La Casa,https://www.propertyguru.com.sg//project/la-casa-110,condo,444.0
The Lakeshore,https://www.propertyguru.com.sg//project/the-lakeshore-104,condo,848.0
Northoaks,https://www.propertyguru.com.sg//project/northoaks-119,condo,720.0
Blossoms @ Woodleigh,https://www.propertyguru.com.sg//project/blossoms-woodleigh-102,condo,240.0
Mera Springs,https://www.propertyguru.com.sg//project/mera-springs-113,condo,129.0
ClementiWoods Condominium,https://www.propertyguru.com.sg//project/clementiwoods-condominium-109,condo,240.0
Paterson Residence,https://www.propertyguru.com.sg//project/paterson-residence-149,condo,110.0
Draycott Eight,https://www.propertyguru.com.sg//project/draycott-eight-161,condo,136.0
Spring Grove,https://www.propertyguru.com.sg//project/spring-grove-157,condo,325.0
The Belvedere,https://www.propertyguru.com.sg//project/the-belvedere-155,condo,167.0
Heritage View,https://www.propertyguru.com.sg//project/heritage-view-154,condo,618.0
Queens,https://www.propertyguru.com.sg//project/queens-164,condo,722.0
Simei Green Condominium,https://www.propertyguru.com.sg//project/simei-green-condominium-165,condo,602.0
The Light @ Cairnhill,https://www.propertyguru.com.sg//project/the-light-cairnhill-148,condo,118.0
Domain 21,https://www.propertyguru.com.sg//project/domain-21-150,condo,141.0
The Inspira,https://www.propertyguru.com.sg//project/the-inspira-159,condo,120.0
Montview,https://www.propertyguru.com.sg//project/montview-172,condo,115.0
The Maylea,https://www.propertyguru.com.sg//project/the-maylea-158,condo,88.0
Parc Centennial,https://www.propertyguru.com.sg//project/parc-centennial-1468,condo,51.0
Peppermint Grove,https://www.propertyguru.com.sg//project/peppermint-grove-1469,condo,15.0
Seraya Ville,https://www.propertyguru.com.sg//project/seraya-ville-1470,condo,31.0
En Fu Mansions,https://www.propertyguru.com.sg//project/en-fu-mansions-1471,condo,12.0
Trilive,https://www.propertyguru.com.sg//project/trilive-1489,condo,217.0
Alpha Apartments,https://www.propertyguru.com.sg//project/alpha-apartments-1491,condo,22.0
8 Orange Grove,https://www.propertyguru.com.sg//project/8-orange-grove-1492,condo,19.0
Attitude @ Kim Yam,https://www.propertyguru.com.sg//project/attitude-kim-yam-1477,condo,33.0
Kovan Lodge,https://www.propertyguru.com.sg//project/kovan-lodge-1478,condo,16.0
Torieview Mansions,https://www.propertyguru.com.sg//project/torieview-mansions-1466,condo,49.0
Centro Residences,https://www.propertyguru.com.sg//project/centro-residences-1550,condo,329.0
The Richmond,https://www.propertyguru.com.sg//project/the-richmond-1558,condo,38.0
The Lincoln Residences,https://www.propertyguru.com.sg//project/the-lincoln-residences-1567,condo,99.0
The Colonnade,https://www.propertyguru.com.sg//project/the-colonnade-1565,condo,90.0
Gambir Ridge (Formerly Bartley Terrace,https://www.propertyguru.com.sg//project/gambir-ridge-formerly-bartley-terrace-1564,condo,77.0
Parc Imperial,https://www.propertyguru.com.sg//project/parc-imperial-1554,condo,138.0
Versailles,https://www.propertyguru.com.sg//project/versailles-1553,condo,55.0
The Ritz-Carlton Residences,https://www.propertyguru.com.sg//project/the-ritz-carlton-residences-1556,condo,58.0
VIVA,https://www.propertyguru.com.sg//project/viva-1561,condo,235.0
White House Residence,https://www.propertyguru.com.sg//project/white-house-residence-1555,condo,12.0
Bristol Lodge,https://www.propertyguru.com.sg//project/bristol-lodge-1671,condo,7.0
Casa Emerald,https://www.propertyguru.com.sg//project/casa-emerald-1699,condo,
Casa Espania,https://www.propertyguru.com.sg//project/casa-espania-1700,condo,20.0
Camay Court,https://www.propertyguru.com.sg//project/camay-court-1684,condo,23.0
Cambridge Village,https://www.propertyguru.com.sg//project/cambridge-village-1685,condo,28.0
Calisay,https://www.propertyguru.com.sg//project/calisay-1683,condo,
Buona Lodge,https://www.propertyguru.com.sg//project/buona-lodge-1677,condo,29.0
Camelia Park,https://www.propertyguru.com.sg//project/camelia-park-1687,condo,50.0
Camden Park,https://www.propertyguru.com.sg//project/camden-park-1686,condo,12.0
Camelodge,https://www.propertyguru.com.sg//project/camelodge-1688,condo,
Canary Ville,https://www.propertyguru.com.sg//project/canary-ville-1689,condo,18.0
Candeville,https://www.propertyguru.com.sg//project/candeville-1692,condo,12.0
Cannaville,https://www.propertyguru.com.sg//project/cannaville-1693,condo,23.0
Canberlin Apartments,https://www.propertyguru.com.sg//project/canberlin-apartments-1690,condo,11.0
Canberlin Lodge,https://www.propertyguru.com.sg//project/canberlin-lodge-1691,condo,14.0
Canne Ville,https://www.propertyguru.com.sg//project/canne-ville-1694,condo,
Belmondo View,https://www.propertyguru.com.sg//project/belmondo-view-1790,condo,22.0
Blossom Mansions,https://www.propertyguru.com.sg//project/blossom-mansions-1796,condo,20.0
Blossom View,https://www.propertyguru.com.sg//project/blossom-view-1797,condo,29.0
Chen Fang Mansions,https://www.propertyguru.com.sg//project/chen-fang-mansions-1809,condo,21.0
Birchwood Mansions,https://www.propertyguru.com.sg//project/birchwood-mansions-1794,condo,24.0
9 Seraya Lane,https://www.propertyguru.com.sg//project/9-seraya-lane-1800,condo,
Bo Bo Tan Gardens,https://www.propertyguru.com.sg//project/bo-bo-tan-gardens-1798,condo,
Charlton Court,https://www.propertyguru.com.sg//project/charlton-court-1812,condo,
Chester Park,https://www.propertyguru.com.sg//project/chester-park-1813,condo,22.0
Autumn Glory,https://www.propertyguru.com.sg//project/autumn-glory-1811,condo,
Blissful View,https://www.propertyguru.com.sg//project/blissful-view-1795,condo,8.0
Elizabeth Regency,https://www.propertyguru.com.sg//project/elizabeth-regency-1906,condo,
Eastside Loft,https://www.propertyguru.com.sg//project/eastside-loft-1892,condo,20.0
East Treasure,https://www.propertyguru.com.sg//project/east-treasure-1893,condo,19.0
Eber Gardens,https://www.propertyguru.com.sg//project/eber-gardens-1903,condo,
Eastwind Mansions,https://www.propertyguru.com.sg//project/eastwind-mansions-1898,condo,
Eastern Residence,https://www.propertyguru.com.sg//project/eastern-residence-1897,condo,
East Mews,https://www.propertyguru.com.sg//project/east-mews-1890,condo,18.0
Edenvale,https://www.propertyguru.com.sg//project/edenvale-1904,condo,16.0
