project_name,project_links,type,units
Park East,https://www.propertyguru.com.sg//project/park-east-412,condo,211.0
Hillview Heights,https://www.propertyguru.com.sg//project/hillview-heights-415,condo,360.0
Trellis Towers,https://www.propertyguru.com.sg//project/trellis-towers-432,condo,384.0
Casuarina Cove,https://www.propertyguru.com.sg//project/casuarina-cove-421,condo,160.0
Seletaris,https://www.propertyguru.com.sg//project/seletaris-424,condo,328.0
Euphony Gardens,https://www.propertyguru.com.sg//project/euphony-gardens-434,condo,304.0
Harbour View Towers,https://www.propertyguru.com.sg//project/harbour-view-towers-439,condo,154.0
Ridgewood Condominium,https://www.propertyguru.com.sg//project/ridgewood-condominium-425,condo,464.0
Estella Gardens,https://www.propertyguru.com.sg//project/estella-gardens-416,condo,350.0
Lakepoint Condo,https://www.propertyguru.com.sg//project/lakepoint-condo-422,condo,304.0
The Horizon,https://www.propertyguru.com.sg//project/the-horizon-419,condo,80.0
Orchard Scotts,https://www.propertyguru.com.sg//project/orchard-scotts-448,condo,387.0
Sunhaven,https://www.propertyguru.com.sg//project/sunhaven-441,condo,295.0
Pine Grove,https://www.propertyguru.com.sg//project/pine-grove-443,condo,660.0
Hilltop Grove,https://www.propertyguru.com.sg//project/hilltop-grove-463,condo,192.0
The Legend,https://www.propertyguru.com.sg//project/the-legend-442,condo,98.0
Teresa Ville,https://www.propertyguru.com.sg//project/teresa-ville-459,condo,264.0
Hawaii Tower,https://www.propertyguru.com.sg//project/hawaii-tower-457,condo,135.0
Windermere,https://www.propertyguru.com.sg//project/windermere-450,condo,395.0
Scotts 28,https://www.propertyguru.com.sg//project/scotts-28-485,condo,136.0
Parbury Hill Condominium,https://www.propertyguru.com.sg//project/parbury-hill-condominium-468,condo,182.0
The Boulevard Residence,https://www.propertyguru.com.sg//project/the-boulevard-residence-444,condo,46.0
Fernwood Towers,https://www.propertyguru.com.sg//project/fernwood-towers-455,condo,215.0
The Elysia,https://www.propertyguru.com.sg//project/the-elysia-456,condo,40.0
Carissa Park Condo,https://www.propertyguru.com.sg//project/carissa-park-condo-452,condo,528.0
The Springbloom,https://www.propertyguru.com.sg//project/the-springbloom-462,condo,372.0
The Windsor,https://www.propertyguru.com.sg//project/the-windsor-471,condo,159.0
The Equatorial,https://www.propertyguru.com.sg//project/the-equatorial-473,condo,95.0
Trevose Park,https://www.propertyguru.com.sg//project/trevose-park-466,condo,150.0
Tanglin Residences,https://www.propertyguru.com.sg//project/tanglin-residences-484,condo,43.0
Summerhill,https://www.propertyguru.com.sg//project/summerhill-470,condo,406.0
Hillbrooks,https://www.propertyguru.com.sg//project/hillbrooks-501,condo,299.0
Landbay Condo,https://www.propertyguru.com.sg//project/landbay-condo-486,condo,122.0
St. Martin Residence,https://www.propertyguru.com.sg//project/st-martin-residence-492,condo,82.0
Woodgrove Condo,https://www.propertyguru.com.sg//project/woodgrove-condo-494,condo,248.0
Casa Cairnhill,https://www.propertyguru.com.sg//project/casa-cairnhill-490,condo,72.0
Klimt Cairnhill,https://www.propertyguru.com.sg//project/klimt-cairnhill-499,condo,138.0
The Alcove,https://www.propertyguru.com.sg//project/the-alcove-467,condo,102.0
Central Grove,https://www.propertyguru.com.sg//project/central-grove-481,condo,262.0
The Merasaga,https://www.propertyguru.com.sg//project/the-merasaga-493,condo,116.0
The Sterling,https://www.propertyguru.com.sg//project/the-sterling-507,condo,232.0
Casafina,https://www.propertyguru.com.sg//project/casafina-500,condo,224.0
The Landmark,https://www.propertyguru.com.sg//project/the-landmark-498,condo,396.0
Rafflesia Condo,https://www.propertyguru.com.sg//project/rafflesia-condo-496,condo,230.0
Stratford Court,https://www.propertyguru.com.sg//project/stratford-court-506,condo,268.0
Avon Park,https://www.propertyguru.com.sg//project/avon-park-508,condo,179.0
The Linc,https://www.propertyguru.com.sg//project/the-linc-497,condo,51.0
Beverly Hill,https://www.propertyguru.com.sg//project/beverly-hill-511,condo,86.0
The Serenade @ Holland,https://www.propertyguru.com.sg//project/the-serenade-holland-505,condo,89.0
Rosewood,https://www.propertyguru.com.sg//project/rosewood-534,condo,437.0
Highgate,https://www.propertyguru.com.sg//project/highgate-546,condo,216.0
Ballota Park Condo,https://www.propertyguru.com.sg//project/ballota-park-condo-526,condo,365.0
Dormer Park,https://www.propertyguru.com.sg//project/dormer-park-529,condo,92.0
One Tree Hill Residence,https://www.propertyguru.com.sg//project/one-tree-hill-residence-531,condo,48.0
Casa Sarina,https://www.propertyguru.com.sg//project/casa-sarina-553,condo,138.0
Tierra Vue,https://www.propertyguru.com.sg//project/tierra-vue-510,condo,129.0
Changi Court,https://www.propertyguru.com.sg//project/changi-court-523,condo,297.0
D'Hillside Loft,https://www.propertyguru.com.sg//project/d-hillside-loft-519,condo,20.0
The Aberdeen,https://www.propertyguru.com.sg//project/the-aberdeen-517,condo,132.0
